time,ask,bid,ask_volume,bid_volume
2016-05-15 21:00:13.361000,1.13139,1.13100,750000,750000
2016-05-15 21:00:13.411000,1.13190,1.13100,1500000,1500000
2016-05-15 21:00:15.463000,1.13149,1.13100,750000,750000
2016-05-15 21:00:16.004000,1.13150,1.13100,1500000,1500000
2016-05-15 21:00:34.943000,1.13145,1.13101,750000,750000
2016-05-15 21:01:06.272000,1.13144,1.13101,750000,750000
2016-05-15 21:03:26.152000,1.13145,1.13101,750000,2250000
2016-05-15 21:03:33.006000,1.13143,1.13101,750000,1500000
2016-05-15 21:03:35.816000,1.13143,1.13099,750000,2250000
2016-05-15 21:04:07.167000,1.13143,1.13109,1190000,190000
2016-05-15 21:04:24.894000,1.13143,1.13099,1250000,2440000
2016-05-15 21:04:37.852000,1.13143,1.13109,1190000,190000
2016-05-15 21:04:47.821000,1.13140,1.13109,1000000,190000
2016-05-15 21:05:06.461000,1.13139,1.13109,1000000,190000
2016-05-15 21:05:09.453000,1.13141,1.13109,1000000,190000
2016-05-15 21:05:13.434000,1.13142,1.13101,1190000,1190000
2016-05-15 21:05:13.535000,1.13143,1.13109,2440000,190000
2016-05-15 21:05:57.773000,1.13140,1.13103,1000000,1190000
2016-05-15 21:06:05.826000,1.13140,1.13103,1000000,1190000
2016-05-15 21:06:06.982000,1.13139,1.13103,1000000,1190000
2016-05-15 21:06:51.984000,1.13139,1.13103,1000000,1190000
2016-05-15 21:06:54.728000,1.13142,1.13103,1690000,1190000
2016-05-15 21:07:04.113000,1.13142,1.13103,1190000,1190000
2016-05-15 21:07:21.799000,1.13141,1.13097,1190000,1690000
2016-05-15 21:07:23.449000,1.13141,1.13097,1690000,1690000
2016-05-15 21:07:43.360000,1.13141,1.13097,2440000,1690000
2016-05-15 21:08:37.828000,1.13141,1.13097,2440000,1690000
2016-05-15 21:08:40.798000,1.13141,1.13097,2440000,1690000
2016-05-15 21:08:50.148000,1.13141,1.13107,2440000,190000
2016-05-15 21:09:27.321000,1.13137,1.13098,1000000,1190000
2016-05-15 21:09:27.624000,1.13132,1.13097,1500000,1190000
2016-05-15 21:09:45.807000,1.13132,1.13097,1500000,1190000
2016-05-15 21:09:46.157000,1.13123,1.13099,1000000,1190000
2016-05-15 21:09:46.539000,1.13119,1.13097,1000000,1190000
2016-05-15 21:09:46.989000,1.13117,1.13097,1500000,1190000
2016-05-15 21:09:52.848000,1.13117,1.13097,1500000,1190000
2016-05-15 21:09:55.803000,1.13116,1.13097,1500000,1190000
2016-05-15 21:10:02.001000,1.13115,1.13097,1500000,1190000
2016-05-15 21:10:02.877000,1.13115,1.13099,1500000,1190000
2016-05-15 21:10:03.231000,1.13115,1.13098,1500000,3190000
2016-05-15 21:10:04.079000,1.13114,1.13098,1000000,3190000
2016-05-15 21:10:04.181000,1.13112,1.13097,1000000,3940000
2016-05-15 21:10:04.484000,1.13110,1.13098,1000000,2440000
2016-05-15 21:10:06.193000,1.13110,1.13098,1500000,2440000
2016-05-15 21:10:06.295000,1.13110,1.13098,1500000,2440000
2016-05-15 21:10:16.991000,1.13105,1.13098,1000000,2440000
2016-05-15 21:10:17.330000,1.13101,1.13098,1500000,2440000
2016-05-15 21:10:33.548000,1.13103,1.13098,1500000,3190000
2016-05-15 21:10:34.378000,1.13103,1.13098,1500000,2440000
2016-05-15 21:10:55.842000,1.13104,1.13098,1500000,3190000
2016-05-15 21:11:00.975000,1.13104,1.13098,1690000,2250000
2016-05-15 21:11:01.026000,1.13097,1.13092,1000000,1000000
2016-05-15 21:11:01.077000,1.13097,1.13085,1000000,1000000
2016-05-15 21:11:01.134000,1.13098,1.13077,1000000,1190000
2016-05-15 21:11:01.184000,1.13078,1.13067,1000000,1940000
2016-05-15 21:11:01.488000,1.13073,1.13061,750000,1190000
2016-05-15 21:11:01.640000,1.13074,1.13061,1000000,1310000
2016-05-15 21:11:02.346000,1.13073,1.13061,1000000,1310000
2016-05-15 21:11:03.601000,1.13072,1.13061,1000000,1310000
2016-05-15 21:11:03.905000,1.13074,1.13071,1500000,190000
2016-05-15 21:11:15.853000,1.13072,1.13061,1500000,1310000
2016-05-15 21:11:20.521000,1.13071,1.13061,1500000,1310000
2016-05-15 21:11:23.886000,1.13070,1.13061,1500000,1190000
